q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Disagree,Disagree,180,20,10,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Seminars and workshops,Assessable content,Digital learning and electronic content",,Nursing programme curriculum,,,Average,,Cycling,Swimming,Jogging,,Sprinting,Circuit Training ,Trampolining ,31-90 minutes,2019-08-17
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Neutral,Neutral,90,30,15,3,,True,True,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",60,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA)",No,Yes,Seminars and workshops,,Through participating in physical activity or sport,,CrossFit   Running  Swimming   ,Average,,swimming ,hill walking ,swimming,,Running,hiit,crossfit ,150+ minutes,2019-08-17
I am a student at the University of Stirling,Year 3,Strongly agree,,,Agree,Agree,Agree,150,30,75,2,,True,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,"Stand-alone lectures,Seminars and workshops,Other",A physcial activity day where we could engage in activities.,"Nursing programme curriculum,Individual interest and reading,Through participating in physical activity or sport",,"Walking, cycling and swimming",Average,,Walking briskly,cycling,swimming,,sprinting,fast cycling,fast swimming,90-149 minutes,2019-08-21
I am a student at the University of Stirling,Year 3,Agree,,,Agree,Agree,Agree,350,30,70,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,"Seminars and workshops,Digital learning and electronic content,Guided studies",,"Nursing programme curriculum,Individual interest and reading,External conferences, informal teaching or presentations",,,Average,,walking,jogging,swimming,,running,squash,football,31-90 minutes,2019-08-25
I am a student at Robert Gordon University,Year 2,Agree,,,Agree,Agree,Neutral,150,10,30,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Seminars and workshops,Guided studies",,"Individual interest and reading,Through participating in physical activity or sport",,"Running, Cycling, Walking, HIIT",Somewhat,,Hillwalking,Swimming,Jogging,,Running,Cycling,Rugby,150+ minutes,2019-08-27
I am a student at the University of Stirling,Year 3,Agree,,,,Neutral,,90,15,30,3,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Guided studies",,Nursing programme curriculum,,,Average,,yoga,pilates,walking,,running,swimming,zumba,90-149 minutes,2019-09-01
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Agree,Disagree,90,30,10,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,GAA training  ,Average,,fast walking ,cycling,yoga,,running ,swimming ,Gym classes,Under 30 minutes,2019-12-03
I am a student at the University of Stirling,Year 3,Strongly agree,,,Strongly Disagree,Strongly agree,Strongly Disagree,150,30,70,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",,,,No,Yes,Seminars and workshops,,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,Weights 3x a week  5k 2x a week,Average,,Weights,Walking,,,Hiit training,Running,Sprinting,31-90 minutes,2019-12-03
I am a student at the University of Stirling,Year 2,Strongly agree,,,Agree,Strongly agree,Agree,210,30,20,3,,True,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,5,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,"Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,Individual interest and reading,,,Very,,3km jog,Yoga ,Dancing ,,Hiit work out ,Mountain climbing ,5km + run,150+ minutes,2019-12-04
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Neutral,Neutral,135,45,20,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",145,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Digital learning and electronic content,Guided studies",,"Media, YouTube, internet,Through participating in physical activity or sport",,I play football for a local amature club and I do regularly go to the gym as well ,Average,,Jogging ,Swimming ,Walking ,,Weight training ,Short and long distance running ,Sprint training ,90-149 minutes,2019-12-04
I am a student at the University of Stirling,Year 2,Agree,,,Disagree,Disagree,Disagree,120,20,45,1,,,,,,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",30,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Seminars and workshops,Guided studies",,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,3-4 classes at the gym a week and walk at least 20 minutes a day,Very,,Aerobics,Swimming ,Cycling,,HIIT training,Spinning ,Circuit training,90-149 minutes,2019-12-04
I am a student at the University of Stirling,Year 2,Agree,,,Agree,Agree,Agree,135,45,90,4,,True,True,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",90,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,"Individual interest and reading,Through participating in physical activity or sport",,,Very,,Swimming,Running,Strength training,,Rugby,football,Hiking ,90-149 minutes,2019-12-06
I am a student at the University of Stirling,Year 2,Strongly agree,,,,Neutral,Neutral,429,60,210,7,,True,False,False,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",120,7,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,Guided studies,,Individual interest and reading,,,Average,,,,,,,,,,2019-12-07
I am a student at the University of Stirling,Year 3,Agree,,,Agree,Agree,Disagree,180,30,60,2,,True,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,2,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,"Nursing programme curriculum,External conferences, informal teaching or presentations",,I try to get out and walk most days.,Average,,Swimming,Brisk Walking,Light weight training,,Sprinting,Dead lifting,Spin class,90-149 minutes,2019-12-10
I am a student at the University of Stirling,Year 2,Agree,,,Disagree,Agree,Neutral,180,30,120,1,,True,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",45,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,"high intensity interval training at least three times a week, strength training at least three times a week.",Somewhat,,tennis,walking uphill,cycling ,,weight training ,HIIT workouts ,running,90-149 minutes,2019-12-19
I am a student at the University of Stirling,Year 3,Neutral,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,200,30,10,3,,True,False,True,,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,2,Should avoid strength training before age 16 as may stunt growth rates,No,No,Seminars and workshops,,"Individual interest and reading,Through participating in physical activity or sport",,i attend the gym and I curl Professionally,Somewhat,,walking,weights,swimming,,running ,rowing,cycling,150+ minutes,2019-12-26
I am a student at the University of Stirling,Year 2,Strongly agree,,,Neutral,Neutral,Neutral,150,60,30,2,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,2,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Nursing programme curriculum,Media, YouTube, internet",,,Average,,Walking briskly,Swimming ,Yoga,,,,,31-90 minutes,2020-01-13
I am a student at the University of Stirling,Year 3,Agree,,,Disagree,Disagree,Disagree,210,30,10,3,,True,True,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",20,5,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content",,"Media, YouTube, internet",,,Not at all,,running ,,,,,,,31-90 minutes,2020-01-15
I am a student at the University of Stirling,Year 2,Strongly agree,,,Strongly Disagree,Agree,Strongly agree,150,30,75,2,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",45,,,No,Yes,"Seminars and workshops,Digital learning and electronic content",,"Individual interest and reading,Media, YouTube, internet",,,Somewhat not,,walk,gardening,yoga,,jogging,zumba,cycling ,31-90 minutes,2020-01-20
I am a student at the University of Stirling,Year 3,Strongly agree,,,Agree,Strongly agree,Agree,150,30,75,3,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,7,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Through participating in physical activity or sport,Other",Gym instructor qualifications ,"CrossFit,swimming,running,triathlons,cycling,weightlifting",Very,,Cycling,Swimming,Walking moderate pace,,Crossfit,Running/Sprints,Boxing ,150+ minutes,2020-01-28
I am a student at the University of Stirling,Year 2,Agree,,,Disagree,Agree,Disagree,90,10,20,3,,False,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,No,Digital learning and electronic content,,Nursing programme curriculum,,,Somewhat not,,Walking,,,,,,,31-90 minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Strongly agree,,,,Strongly agree,Agree,150,10,30,5,,True,True,True,False,False,"Refrain from physical activity in presence of chronic disease such as heart disease or arthritis,Only engage in physical activity if they are used to exercise or used to be active",60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,Guided studies,,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,"Powerlifting, weightlifting ",Very,,Walking ,Dancing ,Carrying moderate weight ,,HITT training ,Powerlifting ,Running ,150+ minutes,2020-01-29
I am a student at the University of Stirling,Year 3,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,280,30,60,3,,,True,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",30,10,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,Seminars and workshops,,"Nursing programme curriculum,Through participating in physical activity or sport",,"Gaelic football and basketball, all over body workouts",Very,,Fast walking ,Leisure cycling ,Jogging ,,Swimming ,Basketball ,Netball ,150+ minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Agree,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,90,30,60,5,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",20,4,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,No,Guided studies,,Individual interest and reading,,,Somewhat,,Swimming,Brisk walk ,Horse riding,,Running,Weight training,Rowing,90-149 minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Agree,,,Neutral,Neutral,Neutral,150,10,75,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,Seminars and workshops,,"Individual interest and reading,Through participating in physical activity or sport",,"hot yoga and calisthenics and rebounding exercises on a trampoline, walking my dogs",Very,,walking,biking,swimming,,running,football,tennis,150+ minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Strongly agree,,,Disagree,Agree,Disagree,120,30,90,5,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,5,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,Yes,"Stand-alone lectures,Seminars and workshops",,"Nursing programme curriculum,Individual interest and reading",,,Somewhat not,,Cycling ,Swimming,Walking,,Aerobics ,Squash,Spin class,Under 30 minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Agree,,,Strongly Disagree,Agree,Strongly Disagree,210,30,15,3,,True,False,True,False,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",15,2,Should minimise the amount of time spent being sedentary (sitting) for extended periods,No,No,"Digital learning and electronic content,Guided studies",,"Media, YouTube, internet",,,Somewhat not,,Power walking ,Cycling ,Walking ,,Running ,Swimming ,Climbing ,Under 30 minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Neutral,,,Strongly Disagree,Agree,Neutral,280,30,8,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",40,300,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet",,,Average,,Jogging,Fast walking,N/A,,Running,Match/game,Swimming,31-90 minutes,2020-01-29
I am a student at the University of Stirling,Year 3,Strongly agree,,,Neutral,Agree,Agree,150,30,75,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",,,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,Seminars and workshops,,"Nursing programme curriculum,Individual interest and reading,Media, YouTube, internet",,"Running, weights, yoga, dog walking",Somewhat,,Walking,Yoga,Weights,,Crossfit training,Hill sprints,,90-149 minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Agree,,,Unsure,Unsure,Unsure,30,15,60,2,,True,False,False,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Seminars and workshops,,Through participating in physical activity or sport,,,Somewhat,,running,core work,training sessions,,,,,31-90 minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Agree,,,Agree,Agree,Agree,150,30,75,2,,True,False,False,True,True,None of the above,180,60,None of the above,No,Yes,Seminars and workshops,,"Individual interest and reading,Media, YouTube, internet,Through participating in physical activity or sport",,jogging and gym,Somewhat,,jogging,walking,swimming,,running,weights,high intensity interval training ,150+ minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Strongly agree,,,Disagree,Disagree,Disagree,120,60,20,4,,True,False,True,False,False,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls,60,2,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss,No,No,Digital learning and electronic content,,Through participating in physical activity or sport,,Horse riding   Walking / hiking   Gym and strength training,Very,,Running,Cycling ,Swimming,,Sprinting ,HIIT,,150+ minutes,2020-01-29
I am a student at the University of Stirling,Year 2,Strongly agree,,,Agree,Agree,Agree,120,30,60,2,,True,True,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,"Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Media, YouTube, internet",,,Somewhat,,Power walking,Cycling ,Swimming ,,Running ,Circuit workouts ,Hiking ,90-149 minutes,2020-01-29
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Neutral,Neutral,60000,5,30,4,,True,False,True,False,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits",60,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Activities such as walking do not contribute to moderate to vigorous physical activity (MVPA),Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",Yes,Yes,Guided studies,,Nursing programme curriculum,,,Average,,Running ,Swimming ,Ice skating ,,Aerobics ,Weights ,Fast exercise in 5 mins,150+ minutes,2020-01-30
I am a student at the University of Stirling,Year 3,Agree,,,Neutral,Neutral,Neutral,30,10,20,3,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,4,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,Seminars and workshops,,"External conferences, informal teaching or presentations",,,Somewhat not,,swimming,jogging,cycling,,running,weights,spin,90-149 minutes,2020-01-30
I am a student at the University of Stirling,Year 2,Agree,,,Agree,Agree,Agree,150,30,75,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,5,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,Through participating in physical activity or sport,,"Munro-bagging, walking  walk 1000 miles in 2016,17,18,20",Average,,swimming,cycling,walking,,aerobics,spinnings,running,150+ minutes,2020-01-30
I am a student at the University of Stirling,Year 3,Agree,,,Strongly Disagree,Agree,Agree,150,15,80,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,Should minimise the amount of time spent being sedentary (sitting) for extended periods,Yes,Yes,"Stand-alone lectures,Assessable content,Digital learning and electronic content",,"Individual interest and reading,Through participating in physical activity or sport,Other",Mentors on placement and attending gym sessions with inpatients,"Yoga, running, zumba",Somewhat,,leisurely swimming,Jogging/brisk walking,Hill walking,,Running,Cycling,Skipping,31-90 minutes,2020-01-30
I am a student at the University of Stirling,Year 3,Strongly agree,,,Agree,Agree,Agree,150,20,75,2,,True,False,True,True,True,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",60,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates,Overweight children should aim for short bouts of high intensity exercise to facilitate weight loss",No,Yes,Assessable content,,Individual interest and reading,,,Average,,Walking,Beginners Yoga,Dancing,,Running,Weight Lifting,Intense Swimming,90-149 minutes,2020-02-01
I am a student at the University of Stirling,Year 2,Strongly agree,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,210,30,210,2,,True,False,True,True,False,"Be advised that any amount of physical activity is better than none, and more activity provides greater health benefits,Incorporate activities to improve balance and coordination on at least two days a week if at risk of falls",30,3,"Should minimise the amount of time spent being sedentary (sitting) for extended periods,Should avoid strength training before age 16 as may stunt growth rates",No,Yes,"Stand-alone lectures,Seminars and workshops,Assessable content,Digital learning and electronic content,Guided studies",,"Individual interest and reading,Through participating in physical activity or sport",,Personal training sessions ,Somewhat,,Walking,Cycling,Swimming,,Hiit classes,Weight training ,Marathon training ,90-149 minutes,2020-02-05
